Target	"sample1"	"sample2"	"sample3"	"sample4"	"sample5"	"sample6"
"Gene1"	11.463166	11.566983	10.616297	11.486727	10.464284	10.456877
"Gene2"	33.949196	34.9502	31.43594	33.769184	33.981197	30.25876
"Gene3"	27.956657	27.962915	28.940428	31.302435	31.90588	23.96802
"Gene4"	26.92745	29.946945	27.942677	26.992838	27.949362	28.934076
"Gene5"	24.992647	26.987282	24.91968	23.97377	25.87609	24.965683
"Gene6"	11.280299	35.69901	40	36.904613	36.63702	40
"Gene7"	26.921848	29.954237	28.881681	27.891363	27.946096	27.918152
"Gene8"	35.940277	27.911345	25.927214	34.870605	26.936262	33.853687
"Gene9"	40	22.49444	35.980316	13.33478	35.745216	40
"Gene10"	23.928349	25.935818	27.920092	23.91822	21.919273	23.94951
"Gene1"	11.970958	11.975826	10.956699	11.97655	10.955966	10.955012
"Gene11"	19.977112	25.95482	24.976246	19.958008	24.946346	25.975739
"Gene12"	25.978376	26.968561	26.965227	25.958038	25.96805	24.958458
"Gene13"	40	40	36.420654	32.398884	34.957813	33.95851
"Gene14"	31.980715	40	31.817513	33.991245	40	27.968353
"Gene15"	28.956345	31.952946	29.957365	26.963717	29.96627	34.954407
"Gene16"	26.925201	30.978937	28.996704	27.87105	28.969591	29.965973
"Gene17"	32.985897	31.977985	29.979012	29.969118	27.969486	30.964504
"Gene18"	26.959076	40	32.978504	27.981207	28.968193	31.966866
"Gene19"	26.976776	33.48574	30.972418	25.986483	32.748653	25.950111
"Gene20"	31.92505	40	34.950836	32.94222	30.951958	32.93417
"Gene21"	31.781717	34.59552	30.013426	30.96973	29.762012	17.162748
"Gene22"	29.729734	34.60699	30.507332	34.81824	36.94729	30.981104
"Gene23"	29.981495	30.974771	30.91097	30.71537	30.988031	26.936037
"Gene1"	11.506148	11.717516	10.551426	11.569757	10.322675	10.667613
"Gene2"	34.41863	34.863342	30.910995	32.965435	33.9511	29.939638
"Gene3"	27.843563	27.95774	28.958609	30.61653	31.945866	23.94807
"Gene4"	26.918331	29.823074	27.824032	26.894503	27.893778	28.969229
"Gene5"	24.916534	26.863857	24.966078	23.731005	25.991243	24.72085
"Gene6"	40	36.91328	36.909508	40	36.9125	40
"Gene7"	26.751589	29.875652	28.957302	27.915184	27.674337	27.926617
"Gene8"	35.92969	27.944181	25.92114	35.94756	26.870821	33.955578
"Gene9"	40	31.394041	34.977806	40	36.971752	40
"Gene10"	23.939383	25.911882	27.858952	23.935562	21.920597	23.926216
"Gene1"	11.876275	11.89721	10.925494	11.7786455	10.833172	10.959781
"Gene11"	19.976437	25.920471	24.960228	19.809034	24.962526	25.921064
"Gene12"	25.860746	26.923952	26.912163	25.927696	25.917763	24.813166
"Gene13"	10.90626	40	35.95428	31.94616	35.44063	33.547813
"Gene14"	31.589033	27.691854	25.755695	33.600986	26.73129	27.972883
"Gene15"	28.68722	31.790506	29.906628	26.91714	29.823269	35.515575
"Gene16"	26.968256	30.949884	28.962017	27.967623	28.928814	29.914291
"Gene17"	32.805138	31.268688	29.73362	29.701178	27.95502	30.634298
"Gene18"	26.683956	36.962494	32.671707	27.777155	28.673851	32.104588
"Gene19"	26.956991	33.97576	30.910208	25.897367	32.982468	25.972885
"Gene20"	31.95915	40	34.626457	32.799656	30.941952	34.585766
"Gene21"	31.962772	33.967236	29.939302	30.73047	29.953226	24.870813
"Gene22"	29.97227	35.9458	30.957973	34.969887	40	30.966581
"Gene23"	30.212135	30.914337	30.974007	30.953777	30.743845	26.974047
"Gene24"	36.916775	35.935352	36.93266	33.960278	36.93059	36.91347
"Gene25"	28.872225	30.15633	28.983458	29.976704	31.992609	33.96799
"Gene26"	28.956566	30.930914	27.856829	30.946112	31.950987	34.70466
"Gene27"	28.959715	35.942448	29.724386	27.793104	33.92893	28.718637
"Gene28"	36.956177	40	32.22652	40	40	40
"Gene29"	26.947136	28.98852	27.961893	27.888968	27.953417	27.936237
"Gene30"	29.929184	32.740723	29.941984	29.964426	31.651188	31.975246
"Gene31"	28.988781	30.700682	28.999771	28.987467	27.975183	25.921371
"Gene32"	24.96656	30.96227	29.978903	25.983213	28.97377	28.980774
"Gene33"	9.009539	40	40	25.271702	36.96896	34.658463
"Gene34"	36.947	40	36.921024	40	6.787344	40
"Gene35"	26.919857	27.953316	28.93319	28.944962	28.962526	28.873924
"Gene36"	26.056574	28.923819	32.939983	30.989088	29.592394	27.944786
"Gene37"	40	7.4082484	40	40	36.935307	40
"Gene38"	25.961494	27.90068	26.79589	27.846182	26.946354	27.952217
"Gene39"	27.975298	34.597435	32.777393	26.956305	35.952877	30.96583
"Gene40"	32.964405	32.941677	28.935162	33.95604	35.72853	31.932747
"Gene41"	24.891092	27.9619	26.963575	25.94524	27.98808	24.914633
"Gene42"	26.886806	26.97945	26.949831	26.885824	26.95565	27.801905
"Gene43"	31.991364	35.86186	32.954174	27.949871	29.986824	31.970118
"Gene44"	20.93566	23.940815	24.976336	22.941635	23.942776	23.969532
"Gene45"	27.018293	34.76001	31.961107	28.87437	27.92166	27.956558
"Gene46"	40	40	40	36.95929	40	35.79251
"Gene47"	40	28.888203	25.930414	40	40	36.938545
"Gene24"	35.85714	35.229275	35.564213	33.885647	40	34.5295
"Gene25"	28.977633	29.966106	28.865702	29.879818	31.96305	33.365955
"Gene26"	28.938492	31.004639	27.95661	30.93257	31.67312	33.981083
"Gene27"	28.916441	35.883762	29.969912	27.987663	34.98062	40
"Gene28"	34.81086	36.923893	31.917694	40	40	40
"Gene29"	26.884426	28.957117	27.95016	27.967821	27.925085	27.937628
"Gene30"	29.953856	32.974876	29.880074	29.71867	31.963326	31.772476
"Gene31"	28.884193	30.945097	28.892761	28.915941	27.983833	25.953808
"Gene32"	24.879072	30.960901	29.89114	25.800446	28.813791	28.744747
"Gene33"	9.987205	33.19263	6.189531	40	34.981804	36.957523
"Gene34"	40	40	36.769184	40	31.659267	40
"Gene35"	26.948479	27.969156	28.947088	28.83209	28.953684	28.952843
"Gene36"	25.933994	28.926422	32.512123	30.912668	29.902668	27.988342
"Gene37"	36.95775	40	36.92824	36.925106	40	32.362698
"Gene38"	25.981384	27.953796	26.948128	27.963371	26.953337	27.927399
"Gene39"	27.943682	36.960278	32.959335	26.987556	35.42495	30.842627
"Gene40"	32.581875	33.239513	28.983454	33.457558	35.97897	31.974688
"Gene41"	24.977955	27.768604	26.944317	25.815863	27.800089	24.867731
"Gene42"	26.975735	26.924679	26.987545	26.956673	26.965902	27.970036
"Gene43"	31.954472	35.959892	33.204594	27.962915	29.800156	31.927391
"Gene44"	20.90725	23.754627	24.736437	22.681892	23.697191	23.848574
"Gene45"	26.949339	34.994507	31.791183	28.951958	27.97344	27.977478
"Gene46"	36.978073	40	40	40	40	35.945354
"Gene47"	40	28.944103	25.969296	40	22.789083	40
"Gene48"	31.980164	30.629229	29.91951	31.644722	31.979454	31.961296
"Gene49"	28.960169	30.7235	27.913069	26.81094	29.991232	26.986048
"Gene50"	40	35.068516	34.985035	32.986473	30.881065	31.896946
"Gene51"	29.978159	40	30.107294	28.132404	40	40
"Gene52"	30.140831	40	34.26649	35.54632	31.73191	31.852308
"Gene53"	24.970058	35.00714	29.001078	25.993517	26.003353	27.977882
"Gene54"	32.973675	32.930542	30.908188	33.453884	31.957983	33.781715
"Gene55"	26.931494	27.923143	26.924337	26.926315	27.863646	26.91777
"Gene56"	27.948698	29.93305	28.974298	27.974035	27.95435	29.696299
"Gene57"	29.971045	32.956783	31.77198	30.984592	30.981255	30.983019
"Gene58"	35.64737	35.719418	31.97042	36.9784	32.979343	40
"Gene59"	26.930542	32.159496	29.047918	29.950642	28.857246	25.880505
"Gene60"	19.909773	21.949387	21.984707	20.964296	20.908316	19.957775
"Gene61"	31.160278	31.950499	27.95954	36.98649	31.977327	33.985123
"Gene62"	23.949078	36.943745	31.940287	27.853878	26.935646	19.931194
"Gene63"	23.95495	36.02451	29.978409	33.95668	35.952393	34.434135
"Gene64"	30.256096	35.432487	29.978716	30.930048	32.95928	29.985653
"Gene65"	26.96826	27.95444	26.979658	26.953875	27.958559	28.9823
"Gene66"	25.845612	28.850555	27.891777	25.868162	26.923601	27.807386
"Gene67"	33.77055	40	33.279175	35.95595	35.965076	27.98714
"Gene68"	36.607315	40	40	31.970621	30.964413	35.95602
"Gene69"	27.961823	27.967466	26.985182	28.971891	27.969986	27.956982
"Gene70"	26.966642	29.984621	28.98011	31.963129	36.625565	27.984024
